# timestamp,voltage,pressure,lux,uv,voc,humidity,volume,temperature
1.155489999999999995e+01,4.431000000000000050e+00,1.018899999999999977e+03,9.120000000000000000e+02,2.800000000000000000e+01,1.426410000000000000e+05,4.750000000000000000e+01,4.100000000000000000e+01,2.814000000000000057e+01
1.156184000000000012e+01,3.835999999999999854e+00,1.018899999999999977e+03,4.050000000000000000e+02,1.200000000000000000e+01,1.431030000000000000e+05,5.000000000000000000e+01,4.150000000000000000e+01,2.778000000000000114e+01
1.157572000000000045e+01,3.822000000000000064e+00,1.018700000000000045e+03,2.510000000000000000e+02,7.000000000000000000e+00,1.528740000000000000e+05,5.200000000000000000e+01,4.150000000000000000e+01,2.542999999999999972e+01
1.158266000000000062e+01,3.817000000000000171e+00,1.018600000000000023e+03,2.170000000000000000e+02,5.000000000000000000e+00,1.520850000000000000e+05,5.450000000000000000e+01,4.000000000000000000e+01,2.455999999999999872e+01
1.160351999999999961e+01,3.814000000000000057e+00,1.018399999999999977e+03,4.830000000000000000e+02,1.100000000000000000e+01,1.504040000000000000e+05,5.750000000000000000e+01,4.050000000000000000e+01,2.369999999999999929e+01
1.161744000000000021e+01,3.818999999999999950e+00,1.018399999999999977e+03,1.572000000000000000e+03,3.700000000000000000e+01,1.394910000000000000e+05,5.350000000000000000e+01,4.100000000000000000e+01,2.635000000000000142e+01
1.162439999999999962e+01,3.819999999999999840e+00,1.018399999999999977e+03,1.541000000000000000e+03,3.600000000000000000e+01,1.378600000000000000e+05,4.950000000000000000e+01,4.100000000000000000e+01,2.744999999999999929e+01
1.163829999999999920e+01,3.818000000000000060e+00,1.018100000000000023e+03,4.230000000000000000e+02,9.000000000000000000e+00,1.339960000000000000e+05,4.600000000000000000e+01,4.050000000000000000e+01,2.785000000000000142e+01
1.164522999999999975e+01,3.815999999999999837e+00,1.018000000000000000e+03,1.226000000000000000e+03,2.800000000000000000e+01,1.452180000000000000e+05,4.900000000000000000e+01,4.050000000000000000e+01,2.642999999999999972e+01
1.165914000000000073e+01,3.815999999999999837e+00,1.018000000000000000e+03,1.069000000000000000e+03,2.500000000000000000e+01,1.456960000000000000e+05,4.700000000000000000e+01,4.150000000000000000e+01,2.805000000000000071e+01
1.166609000000000052e+01,3.815999999999999837e+00,1.017799999999999955e+03,1.130000000000000000e+03,2.500000000000000000e+01,1.488850000000000000e+05,4.500000000000000000e+01,4.150000000000000000e+01,2.800000000000000000e+01
1.167999000000000009e+01,3.814999999999999947e+00,1.017799999999999955e+03,9.710000000000000000e+02,2.100000000000000000e+01,1.554260000000000000e+05,4.600000000000000000e+01,4.100000000000000000e+01,2.789999999999999858e+01
1.168693000000000026e+01,3.815999999999999837e+00,1.017799999999999955e+03,3.890000000000000000e+02,1.000000000000000000e+01,1.625690000000000000e+05,4.700000000000000000e+01,4.150000000000000000e+01,2.692000000000000171e+01
1.170082000000000022e+01,3.986000000000000210e+00,1.017700000000000045e+03,1.870000000000000000e+02,4.000000000000000000e+00,1.609420000000000000e+05,5.150000000000000000e+01,4.050000000000000000e+01,2.475000000000000000e+01
1.170777000000000001e+01,4.107999999999999652e+00,1.017600000000000023e+03,1.700000000000000000e+02,4.000000000000000000e+00,1.544760000000000000e+05,5.450000000000000000e+01,4.050000000000000000e+01,2.378999999999999915e+01
1.172165999999999997e+01,4.155000000000000249e+00,1.017700000000000045e+03,8.200000000000000000e+01,2.000000000000000000e+00,1.244720000000000000e+05,5.750000000000000000e+01,3.950000000000000000e+01,2.276999999999999957e+01
1.172860000000000014e+01,4.153999999999999915e+00,1.017600000000000023e+03,7.600000000000000000e+01,2.000000000000000000e+00,1.205690000000000000e+05,5.950000000000000000e+01,4.050000000000000000e+01,2.217000000000000171e+01
1.174249000000000009e+01,4.158999999999999808e+00,1.017500000000000000e+03,2.300000000000000000e+01,0.000000000000000000e+00,1.003260000000000000e+05,6.250000000000000000e+01,3.850000000000000000e+01,2.142000000000000171e+01
1.174943000000000026e+01,4.158999999999999808e+00,1.017500000000000000e+03,1.200000000000000000e+01,0.000000000000000000e+00,1.009560000000000000e+05,6.550000000000000000e+01,3.900000000000000000e+01,2.080000000000000071e+01
1.176332000000000022e+01,4.158999999999999808e+00,1.017700000000000045e+03,0.000000000000000000e+00,0.000000000000000000e+00,9.612800000000000000e+04,6.800000000000000000e+01,4.000000000000000000e+01,2.001999999999999957e+01
1.177027000000000001e+01,4.158999999999999808e+00,1.017700000000000045e+03,0.000000000000000000e+00,0.000000000000000000e+00,8.733000000000000000e+04,6.800000000000000000e+01,3.900000000000000000e+01,1.944999999999999929e+01
1.178416999999999959e+01,4.160999999999999588e+00,1.017600000000000023e+03,0.000000000000000000e+00,0.000000000000000000e+00,9.101500000000000000e+04,6.900000000000000000e+01,3.950000000000000000e+01,1.883999999999999986e+01
1.179110999999999976e+01,4.160000000000000142e+00,1.017700000000000045e+03,0.000000000000000000e+00,0.000000000000000000e+00,8.963100000000000000e+04,7.000000000000000000e+01,3.850000000000000000e+01,1.839999999999999858e+01
1.180499999999999972e+01,4.158000000000000362e+00,1.017700000000000045e+03,0.000000000000000000e+00,0.000000000000000000e+00,8.793800000000000000e+04,7.150000000000000000e+01,3.800000000000000000e+01,1.805999999999999872e+01
1.181193999999999988e+01,4.158000000000000362e+00,1.017700000000000045e+03,0.000000000000000000e+00,0.000000000000000000e+00,8.917900000000000000e+04,7.300000000000000000e+01,3.850000000000000000e+01,1.767000000000000171e+01
1.182582999999999984e+01,4.158999999999999808e+00,1.017899999999999977e+03,0.000000000000000000e+00,0.000000000000000000e+00,9.302600000000000000e+04,7.400000000000000000e+01,3.900000000000000000e+01,1.739000000000000057e+01
1.183277999999999963e+01,4.160000000000000142e+00,1.017899999999999977e+03,0.000000000000000000e+00,0.000000000000000000e+00,9.612800000000000000e+04,7.450000000000000000e+01,3.850000000000000000e+01,1.701000000000000156e+01
1.184667999999999921e+01,4.157000000000000028e+00,1.017899999999999977e+03,0.000000000000000000e+00,0.000000000000000000e+00,9.739800000000000000e+04,7.500000000000000000e+01,3.950000000000000000e+01,1.673999999999999844e+01
1.185361999999999938e+01,4.158000000000000362e+00,1.017799999999999955e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.015360000000000000e+05,7.700000000000000000e+01,3.950000000000000000e+01,1.639000000000000057e+01
1.186752000000000073e+01,4.157000000000000028e+00,1.017700000000000045e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.033750000000000000e+05,7.650000000000000000e+01,3.900000000000000000e+01,1.619000000000000128e+01
1.187447000000000052e+01,4.158999999999999808e+00,1.017700000000000045e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.061670000000000000e+05,7.750000000000000000e+01,3.800000000000000000e+01,1.584999999999999964e+01
1.188836000000000048e+01,4.155000000000000249e+00,1.017700000000000045e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.098600000000000000e+05,7.750000000000000000e+01,3.850000000000000000e+01,1.567999999999999972e+01
1.189530000000000065e+01,4.155999999999999694e+00,1.017600000000000023e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.137460000000000000e+05,7.900000000000000000e+01,3.850000000000000000e+01,1.538000000000000078e+01
1.190920000000000023e+01,4.153999999999999915e+00,1.017700000000000045e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.155290000000000000e+05,7.900000000000000000e+01,3.800000000000000000e+01,1.527999999999999936e+01
1.191615000000000002e+01,4.152999999999999581e+00,1.017700000000000045e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.182320000000000000e+05,7.950000000000000000e+01,3.850000000000000000e+01,1.498000000000000043e+01
1.193004999999999960e+01,4.152999999999999581e+00,1.017700000000000045e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.227450000000000000e+05,8.050000000000000000e+01,3.800000000000000000e+01,1.488000000000000078e+01
1.193698999999999977e+01,4.152000000000000135e+00,1.017700000000000045e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.254430000000000000e+05,8.050000000000000000e+01,3.800000000000000000e+01,1.460999999999999943e+01
1.195088999999999935e+01,4.152999999999999581e+00,1.017600000000000023e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.294840000000000000e+05,8.100000000000000000e+01,3.900000000000000000e+01,1.461999999999999922e+01
1.195783999999999914e+01,4.150000000000000355e+00,1.017600000000000023e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.291060000000000000e+05,8.150000000000000000e+01,3.850000000000000000e+01,1.435999999999999943e+01
1.197174000000000049e+01,4.152999999999999581e+00,1.017399999999999977e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.353290000000000000e+05,8.100000000000000000e+01,3.850000000000000000e+01,1.428999999999999915e+01
1.197868000000000066e+01,4.155000000000000249e+00,1.017399999999999977e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.348130000000000000e+05,8.150000000000000000e+01,3.850000000000000000e+01,1.400999999999999979e+01
1.199257000000000062e+01,4.152000000000000135e+00,1.017299999999999955e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.393810000000000000e+05,8.200000000000000000e+01,3.900000000000000000e+01,1.391000000000000014e+01
1.199951000000000079e+01,4.150999999999999801e+00,1.017299999999999955e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.433350000000000000e+05,8.200000000000000000e+01,3.800000000000000000e+01,1.365000000000000036e+01
1.201341000000000037e+01,4.152000000000000135e+00,1.017200000000000045e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.466630000000000000e+05,8.200000000000000000e+01,3.850000000000000000e+01,1.358999999999999986e+01
1.202036000000000016e+01,4.150999999999999801e+00,1.017100000000000023e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.504040000000000000e+05,8.200000000000000000e+01,3.950000000000000000e+01,1.332000000000000028e+01
1.203425999999999974e+01,4.152000000000000135e+00,1.016899999999999977e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.540720000000000000e+05,8.300000000000000000e+01,3.950000000000000000e+01,1.333000000000000007e+01
1.204119999999999990e+01,4.150000000000000355e+00,1.016899999999999977e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.532710000000000000e+05,8.400000000000000000e+01,3.950000000000000000e+01,1.316000000000000014e+01
1.205509999999999948e+01,4.150000000000000355e+00,1.016799999999999955e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.542070000000000000e+05,8.400000000000000000e+01,3.900000000000000000e+01,1.330000000000000071e+01
1.207596000000000025e+01,4.149000000000000021e+00,1.016600000000000023e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.532710000000000000e+05,8.350000000000000000e+01,3.900000000000000000e+01,1.319999999999999929e+01
1.208291000000000004e+01,4.150999999999999801e+00,1.016500000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.546110000000000000e+05,8.400000000000000000e+01,3.850000000000000000e+01,1.294999999999999929e+01
1.209680999999999962e+01,4.147999999999999687e+00,1.016299999999999955e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.579240000000000000e+05,8.450000000000000000e+01,3.900000000000000000e+01,1.303999999999999915e+01
1.210374999999999979e+01,4.149000000000000021e+00,1.016299999999999955e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.600680000000000000e+05,8.500000000000000000e+01,3.900000000000000000e+01,1.285999999999999943e+01
1.211766000000000076e+01,4.144999999999999574e+00,1.016200000000000045e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.640770000000000000e+05,8.600000000000000000e+01,3.900000000000000000e+01,1.300999999999999979e+01
1.212461000000000055e+01,4.145999999999999908e+00,1.016100000000000023e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.631690000000000000e+05,8.700000000000000000e+01,3.850000000000000000e+01,1.288000000000000078e+01
1.213851000000000013e+01,4.142999999999999794e+00,1.016000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.609420000000000000e+05,8.650000000000000000e+01,3.900000000000000000e+01,1.306000000000000050e+01
1.214545000000000030e+01,4.149000000000000021e+00,1.016000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.616770000000000000e+05,8.750000000000000000e+01,4.000000000000000000e+01,1.291000000000000014e+01
1.215934999999999988e+01,4.144000000000000128e+00,1.015799999999999955e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.592030000000000000e+05,8.750000000000000000e+01,3.800000000000000000e+01,1.305000000000000071e+01
1.216629999999999967e+01,4.142999999999999794e+00,1.015799999999999955e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.642290000000000000e+05,8.750000000000000000e+01,3.800000000000000000e+01,1.286999999999999922e+01
1.218021000000000065e+01,4.142000000000000348e+00,1.015600000000000023e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.651490000000000000e+05,8.900000000000000000e+01,4.000000000000000000e+01,1.311999999999999922e+01
1.218715000000000082e+01,4.139000000000000234e+00,1.015600000000000023e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.662360000000000000e+05,9.000000000000000000e+01,3.900000000000000000e+01,1.300999999999999979e+01
1.220105000000000040e+01,4.141000000000000014e+00,1.015700000000000045e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.628680000000000000e+05,8.900000000000000000e+01,3.800000000000000000e+01,1.322000000000000064e+01
1.220800000000000018e+01,4.134999999999999787e+00,1.015600000000000023e+03,1.000000000000000000e+00,0.000000000000000000e+00,1.642290000000000000e+05,8.900000000000000000e+01,3.850000000000000000e+01,1.307000000000000028e+01
1.222189999999999976e+01,4.139999999999999680e+00,1.015600000000000023e+03,1.000000000000000000e+01,0.000000000000000000e+00,1.660800000000000000e+05,8.900000000000000000e+01,3.800000000000000000e+01,1.334999999999999964e+01
1.222884999999999955e+01,4.134000000000000341e+00,1.015600000000000023e+03,1.300000000000000000e+01,0.000000000000000000e+00,1.657690000000000000e+05,8.900000000000000000e+01,3.800000000000000000e+01,1.325999999999999979e+01
1.224273999999999951e+01,4.126999999999999780e+00,1.015600000000000023e+03,2.300000000000000000e+01,0.000000000000000000e+00,1.670210000000000000e+05,8.900000000000000000e+01,3.800000000000000000e+01,1.361999999999999922e+01
1.224970000000000070e+01,4.128000000000000114e+00,1.015600000000000023e+03,3.300000000000000000e+01,1.000000000000000000e+00,1.674950000000000000e+05,9.000000000000000000e+01,3.900000000000000000e+01,1.356000000000000050e+01
1.226360000000000028e+01,4.128999999999999559e+00,1.015600000000000023e+03,3.900000000000000000e+01,1.000000000000000000e+00,1.645350000000000000e+05,8.900000000000000000e+01,3.950000000000000000e+01,1.383999999999999986e+01
1.227054000000000045e+01,4.126000000000000334e+00,1.015600000000000023e+03,4.800000000000000000e+01,1.000000000000000000e+00,1.646880000000000000e+05,8.950000000000000000e+01,3.800000000000000000e+01,1.368999999999999950e+01
1.228445999999999927e+01,3.899999999999999911e+00,1.015600000000000023e+03,9.200000000000000000e+01,3.000000000000000000e+00,1.613820000000000000e+05,8.900000000000000000e+01,4.050000000000000000e+01,1.397000000000000064e+01
1.229139999999999944e+01,3.962000000000000188e+00,1.015600000000000023e+03,8.700000000000000000e+01,3.000000000000000000e+00,1.594910000000000000e+05,9.050000000000000000e+01,3.950000000000000000e+01,1.398000000000000043e+01
